substance,ec,cas,clp_class,h_code
hydrogen,215-605-7,1333-74-0,Flam. Gas 1,H220
hydrogen,215-605-7,1333-74-0,Press. Gas,
aluminium lithium hydride,240-877-9,16853-85-3,Water-react. 1,H260
aluminium lithium hydride,240-877-9,16853-85-3,Skin Corr. 1A,H314
sodium hydride,231-587-3,7646-69-7,Water-react. 1,H260
calcium hydride,232-189-2,7789-78-8,Water-react. 1,H260
lithium,231-102-5,7439-93-2,Water-react. 1,H260
lithium,231-102-5,7439-93-2,Skin Corr. 1B,H314
n-hexyllithium,404-950-0,21369-64-2,Pyr. Sol. 1,H250
n-hexyllithium,404-950-0,21369-64-2,Water-react. 1,H260
n-hexyllithium,404-950-0,21369-64-2,Skin Corr. 1A,H314
(2-methylpropyl)lithium; isobutyllithium,440-620-2,920-36-5,Pyr. Liq. 1,H250
(2-methylpropyl)lithium; isobutyllithium,440-620-2,920-36-5,Water-react. 1,H260
(2-methylpropyl)lithium; isobutyllithium,440-620-2,920-36-5,STOT SE 3,H336
(2-methylpropyl)lithium; isobutyllithium,440-620-2,920-36-5,Skin Corr. 1A,H314
(2-methylpropyl)lithium; isobutyllithium,440-620-2,920-36-5,Aquatic Acute 1,H400
(2-methylpropyl)lithium; isobutyllithium,440-620-2,920-36-5,Aquatic Chronic 1,H410
beryllium,231-150-7,7440-41-7,Carc. 1B,H350i
beryllium,231-150-7,7440-41-7,Acute Tox. 2 *,H330
beryllium,231-150-7,7440-41-7,Acute Tox. 3 *,H301
beryllium,231-150-7,7440-41-7,STOT SE 3,H335
beryllium,231-150-7,7440-41-7,STOT RE 1,H372 **
beryllium,231-150-7,7440-41-7,Skin Irrit. 2,H315
beryllium,231-150-7,7440-41-7,Eye Irrit. 2,H319
beryllium,231-150-7,7440-41-7,Skin Sens. 1,H317
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",NA,NA,Carc. 1B,H350i
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",NA,NA,Acute Tox. 2 *,H330
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",NA,NA,Acute Tox. 3 *,H301
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",NA,NA,STOT SE 3,H335
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",NA,NA,STOT RE 1,H372 **
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",NA,NA,Skin Irrit. 2,H315
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",NA,NA,Eye Irrit. 2,H319
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",NA,NA,Skin Sens. 1,H317
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",NA,NA,Aquatic Chronic 2,H411
beryllium oxide,215-133-1,1304-56-9,Carc. 1B,H350i
beryllium oxide,215-133-1,1304-56-9,Acute Tox. 2 *,H330
beryllium oxide,215-133-1,1304-56-9,Acute Tox. 3 *,H301
beryllium oxide,215-133-1,1304-56-9,STOT SE 3,H335
beryllium oxide,215-133-1,1304-56-9,STOT RE 1,H372 **
beryllium oxide,215-133-1,1304-56-9,Skin Irrit. 2,H315
beryllium oxide,215-133-1,1304-56-9,Eye Irrit. 2,H319
beryllium oxide,215-133-1,1304-56-9,Skin Sens. 1,H317
boron trifluoride,231-569-5,7637-07-2,Press. Gas,
boron trifluoride,231-569-5,7637-07-2,Acute Tox. 2 *,H330
boron trifluoride,231-569-5,7637-07-2,Skin Corr. 1A,H314
boron trichloride,233-658-4,10294-34-5,Press. Gas,
boron trichloride,233-658-4,10294-34-5,Acute Tox. 2 *,H330
boron trichloride,233-658-4,10294-34-5,Acute Tox. 2 *,H300
boron trichloride,233-658-4,10294-34-5,Skin Corr. 1B,H314
boron tribromide,233-657-9,10294-33-4,Acute Tox. 2 *,H330
boron tribromide,233-657-9,10294-33-4,Acute Tox. 2 *,H300
boron tribromide,233-657-9,10294-33-4,Skin Corr. 1A,H314
trialkylboranes,NA,NA,Pyr. Sol. 1,H250
trialkylboranes,NA,NA,Skin Corr. 1B,H314
"trialkylboranes, liquid",NA,NA,Pyr. Liq. 1,H250
"trialkylboranes, liquid",NA,NA,Skin Corr. 1B,H314
trimethyl borate,204-468-9,121-43-7,Flam. Liq. 3,H226
trimethyl borate,204-468-9,121-43-7,Acute Tox. 4 *,H312
dibutyltin hydrogen borate,401-040-5,75113-37-0,Muta. 2,H341
dibutyltin hydrogen borate,401-040-5,75113-37-0,Repr. 1B,H360FD
dibutyltin hydrogen borate,401-040-5,75113-37-0,Acute Tox. 4 *,H312
dibutyltin hydrogen borate,401-040-5,75113-37-0,Acute Tox. 4 *,H302
dibutyltin hydrogen borate,401-040-5,75113-37-0,STOT RE 1,H372 **
dibutyltin hydrogen borate,401-040-5,75113-37-0,Eye Dam. 1,H318
dibutyltin hydrogen borate,401-040-5,75113-37-0,Skin Sens. 1,H317
dibutyltin hydrogen borate,401-040-5,75113-37-0,Aquatic Acute 1,H400
dibutyltin hydrogen borate,401-040-5,75113-37-0,Aquatic Chronic 1,H410
"boric acid [1]
boric acid [2]
","233-139-2 [1]
234-343-4 [2]
","10043-35-3 [1]
11113-50-1 [2]
",Repr. 1B,H360FD
diboron trioxide; boric oxide,215-125-8,1303-86-2,Repr. 1B,H360FD
tetrabutylammonium butyltriphenylborate,418-080-4,120307-06-4,Skin Sens. 1,H317
tetrabutylammonium butyltriphenylborate,418-080-4,120307-06-4,Aquatic Acute 1,H400
tetrabutylammonium butyltriphenylborate,418-080-4,120307-06-4,Aquatic Chronic 1,H410
"N,N-dimethylanilinium tetrakis(pentafluorophenyl)borate",422-050-6,118612-00-3,Carc. 2,H351
"N,N-dimethylanilinium tetrakis(pentafluorophenyl)borate",422-050-6,118612-00-3,Acute Tox. 4 *,H302
"N,N-dimethylanilinium tetrakis(pentafluorophenyl)borate",422-050-6,118612-00-3,Skin Irrit. 2,H315
"N,N-dimethylanilinium tetrakis(pentafluorophenyl)borate",422-050-6,118612-00-3,Eye Dam. 1,H318
"disodium tetraborate, anhydrous; boric acid, disodium salt [1]
tetraboron disodium heptaoxide, hydrate [2]
orthoboric acid, sodium salt  [3]
","215-540-4 [1]
235-541-3 [2]
237-560-2 [3]
","1330-43-4 [1]
12267-73-1 [2]
13840-56-7 [3]
",Repr. 1B,H360FD
disodium tetraborate decahydrate; borax decahydrate,215-540-4,1303-96-4,Repr. 1B,H360FD
disodium tetraborate pentahydrate; borax pentahydrate,215-540-4,12179-04-3,Repr. 1B,H360FD
"diethyl{}{4-[1,5,5-tris(4-diethylaminophenyl)penta-2,4-dienylidene]cyclohexa-2,5-dienylidene}}ammonium butyltriphenylborate",418-070-1,141714-54-7,Skin Sens. 1,H317
"diethyl{}{4-[1,5,5-tris(4-diethylaminophenyl)penta-2,4-dienylidene]cyclohexa-2,5-dienylidene}}ammonium butyltriphenylborate",418-070-1,141714-54-7,Aquatic Acute 1,H400
"diethyl{}{4-[1,5,5-tris(4-diethylaminophenyl)penta-2,4-dienylidene]cyclohexa-2,5-dienylidene}}ammonium butyltriphenylborate",418-070-1,141714-54-7,Aquatic Chronic 1,H410
diethylmethoxyborane,425-380-9,7397-46-8,Pyr. Liq. 1,H250
diethylmethoxyborane,425-380-9,7397-46-8,Acute Tox. 4 *,H332
diethylmethoxyborane,425-380-9,7397-46-8,Acute Tox. 4 *,H312
diethylmethoxyborane,425-380-9,7397-46-8,Acute Tox. 4 *,H302
diethylmethoxyborane,425-380-9,7397-46-8,STOT RE 2 *,H373 **
diethylmethoxyborane,425-380-9,7397-46-8,Skin Corr. 1B,H314
diethylmethoxyborane,425-380-9,7397-46-8,Skin Sens. 1,H317
diethylmethoxyborane,425-380-9,7397-46-8,Aquatic Chronic 4,H413
4-formylphenylboronic acid,438-670-5,87199-17-5,Skin Sens. 1,H317
"1-chloromethyl-4-fluoro-1,4-diazoniabicyclo[2.2.2]octane bis(tetrafluoroborate)",414-380-4,140681-55-6,Acute Tox. 4 *,H302
"1-chloromethyl-4-fluoro-1,4-diazoniabicyclo[2.2.2]octane bis(tetrafluoroborate)",414-380-4,140681-55-6,Eye Dam. 1,H318
"1-chloromethyl-4-fluoro-1,4-diazoniabicyclo[2.2.2]octane bis(tetrafluoroborate)",414-380-4,140681-55-6,Skin Sens. 1,H317
"1-chloromethyl-4-fluoro-1,4-diazoniabicyclo[2.2.2]octane bis(tetrafluoroborate)",414-380-4,140681-55-6,Aquatic Chronic 3,H412
tetrabutylammonium butyl tris-(4-tert-butylphenyl)borate,431-370-5,-,Aquatic Chronic 4,H413
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",Ox. Sol. 2,H272
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",Repr. 1B,H360Df
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",Acute Tox. 4 *,H302
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",STOT SE 3,H335
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",Eye Dam. 1,H318
