Registered Substances
Export date: 15/02/2019 08:37:58
Last updated 13/02/2019. Database contains 21928 unique substances and contains information from 92032 dossiers.

"substanceName"	""
"ecNumber"	""
"casNumber"	""
"otherNumber"	""
"otherNumericalIdentifiers"	

"registrationType"	"FULL"
"submissionType"	
"country"	""
"firstPublishedDateMin"	
"firstPublishedDateMax"	
"lastUpdateDateMin"	
"lastUpdateDateMax"	
"registrantName"	""
"registrationNumber"	""
"tonnageBandType"	"ALL"
"tonnageBandMin"	"0"
"tonnageBandMax"	"0"
"substancesHasNanoform"	"-1"
"pbtAssesmentOutcome"	
"csaPerformed"	""
"lifecycles"	

"uses"	

"usesOperatorIsAnd"	"true"
"uses"	



"Name"	"EC / List Number"	"Cas Number"	"Registration Type"	"Submission Type"	"Total tonnage Band"	"Factsheet URL"	"Substance Information Page"	
"''amyl nitrite'', mixed isomers"	"203-770-8"	"110-46-3; 463-04-7"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/27335"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.003.429"	
"(+)-bornan-2-one"	"207-355-2"	"464-49-3"	"Full"	"Joint"	"100 - 1000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/24627"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.006.688"	
"(+)-L-arginine hydrochloride"	"214-275-1"	"1119-34-2"	"Full"	"Joint"	"100 - 1000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/11919"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.012.978"	
"(+)-menthol"	"239-387-8"	"15356-60-2"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/12128"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.035.791"	
"(+)-neomenthol"	"218-691-4"	"2216-52-6"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/25394"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.016.993"	
"(+)-tartaric acid"	"201-766-0"	"87-69-4"	"Full"	"Joint"	"10000 - 100000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/15126"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.001.606"	
"(+)-trans-3,3-dimethyl-5-(2,2,3-trimethyl-cyclopent-3-en-1-yl)pent-4-en-2-ol"	"944-817-9"	"244626-73-1"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/19586"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.247.308"	
"(+-)-(3aRS,5aSR,9aSR,9bSR)-3a,6,6,9a-Tetramethyldodecahydronaphtho[2,1-b]furan"	"948-069-4"	"-"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/25358"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.261.163"	
"(+/-) trans-3,3-dimethyl-5-(2,2,3-trimethyl-cyclopent-3-en-1-yl)pent-4-en-2-ol"	"411-580-3"	"107898-54-4; 244626-73-1; 1077898-54-4"	"Full"	"Joint"	"10+ tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/13419"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.101.101"	
"(-)-3,7-dimethyloct-6-en-1-ol"	"231-415-7"	"7540-51-4"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/25600"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.028.560"	
"(-)-3,7-dimethyloct-6-enyl acetate"	"266-767-0"	"67601-05-2"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/25684"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.060.679"	
"(-)-pin-2(10)-ene"	"242-060-2"	"18172-67-3; 127-91-3"	"Full"	"Joint"	"10000 - 100000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/15934"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.038.222"	
"(1'r,4'r)-4-butyl-4'-(4-ethoxy-2,3-difluorophenyl)-1,1'-bi(cyclohexane)"	"610-337-0"	"473257-15-7"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/21378"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.127.686"	
"(1,1,3,3-tetramethyldisiloxane-1,3-diyl)dipropane-1,3-diyl dimethacrylate"	"242-419-3"	"18547-93-8"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/24123"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.038.548"	
"(1,2-dioxoethylene)bis(iminoethylene) bis[3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate]"	"274-572-7"	"70331-94-1"	"Full"	"Joint"	"100 - 1000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/17394"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.067.771"	
"(1-[2-[5-METHYL-3-(TRIFLUOROMETHYL)-1H-PYRAZOL-1-YL]ACETYL]-4-HETEROMONOCYCLECARBOTHIOAMIDE)"	"-"	"-"	"Full"	"Individual"	"100 - 1000 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/20193"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.224.443"	
"(1-Ethoxyethoxy)cyclododecane"	"446-240-3"	"-"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/27298"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.104.054"	
"(1-hydroxyethane-1,1-diyl)bis(phosphonic acid), compound with 2-aminoethanol (1:?)"	"814-283-0"	"42220-47-3"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/25278"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.247.374"	
"(1-hydroxyethylidene)bisphosphonic acid, potassium salt"	"267-956-0"	"67953-76-8"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/2191"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.061.760"	
